iter	Passed	Remaining
932	3644	8075
933	3648	8070
934	3652	8066
935	3656	8062
936	3659	8057
937	3663	8053
938	3667	8049
939	3670	8044
940	3674	8040
941	3678	8035
942	3681	8031
943	3685	8027
944	3689	8022
945	3692	8018
946	3696	8013
947	3700	8009
948	3703	8004
949	3707	8000
950	3711	7996
951	3714	7991
952	3718	7987
953	3722	7983
954	3726	7978
955	3729	7974
956	3733	7970
957	3737	7965
958	3740	7961
959	3744	7957
960	3748	7952
961	3751	7948
962	3755	7943
963	3759	7939
964	3762	7935
965	3766	7931
966	3770	7926
967	3774	7922
968	3777	7918
969	3781	7913
970	3785	7909
971	3788	7905
972	3792	7901
973	3796	7896
974	3800	7892
975	3803	7888
976	3807	7884
977	3811	7880
978	3815	7876
979	3819	7873
980	3823	7869
981	3827	7865
982	3831	7861
983	3835	7857
984	3839	7853
985	3842	7849
986	3846	7844
987	3850	7840
988	3853	7836
989	3857	7832
990	3861	7828
991	3865	7824
992	3869	7819
993	3872	7815
994	3876	7811
995	3880	7807
996	3883	7802
997	3888	7800
998	3892	7796
999	3896	7792
1000	3899	7787
1001	3903	7783
1002	3907	7779
1003	3910	7774
1004	3914	7770
1005	3918	7766
1006	3921	7762
1007	3925	7757
1008	3929	7754
1009	3933	7751
1010	3937	7746
1011	3941	7742
1012	3944	7738
1013	3948	7733
1014	3952	7729
1015	3956	7725
1016	3959	7720
1017	3963	7716
1018	3967	7712
1019	3970	7707
1020	3974	7703
1021	3978	7699
1022	3981	7695
1023	3985	7691
1024	3989	7687
1025	3993	7682
1026	3996	7678
1027	4000	7674
1028	4004	7670
1029	4008	7666
1030	4012	7662
1031	4016	7659
1032	4020	7655
1033	4024	7651
1034	4027	7646
1035	4031	7642
1036	4035	7638
1037	4038	7634
1038	4042	7629
1039	4046	7625
1040	4049	7621
1041	4053	7616
1042	4057	7612
1043	4060	7608
1044	4064	7604
1045	4068	7600
1046	4072	7595
1047	4075	7591
1048	4079	7587
1049	4083	7583
1050	4086	7578
1051	4090	7574
1052	4094	7570
1053	4098	7566
1054	4101	7562
1055	4105	7557
1056	4109	7553
1057	4112	7549
1058	4116	7544
1059	4120	7540
1060	4123	7536
1061	4127	7532
1062	4131	7528
1063	4135	7524
1064	4139	7520
1065	4142	7516
1066	4146	7511
1067	4150	7507
1068	4154	7503
1069	4157	7499
1070	4161	7495
1071	4165	7491
1072	4168	7486
1073	4172	7482
1074	4176	7478
1075	4180	7474
1076	4183	7470
1077	4187	7466
1078	4191	7462
1079	4195	7458
1080	4198	7453
1081	4202	7449
1082	4206	7445
1083	4210	7441
1084	4213	7437
1085	4217	7433
1086	4221	7429
1087	4224	7424
1088	4228	7420
1089	4232	7416
1090	4236	7412
1091	4239	7408
1092	4243	7403
1093	4247	7399
1094	4250	7395
1095	4254	7391
1096	4258	7386
1097	4261	7382
